2020/08/05 19:52:52 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628372373587300}
2020/08/05 19:53:39 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628419526060000}
2020/08/05 19:56:05 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628565689444700}
2020/08/05 19:57:29 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628649889330700}
2020/08/05 19:59:23 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596628763873873800}
2020/08/05 20:03:45 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596629025303077700}
2020/08/05 20:04:54 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596629094847250900}
2020/08/05 20:21:29 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name长度必须至少为3个字符%!v(MISSING)","time":1596630089191239200}
2020/08/05 20:21:55 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name长度必须至少为3个字符%!v(MISSING)","time":1596630115610552400}
2020/08/06 16:17:41 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CreateArticle err: Error 1054: Unknown column 'created_by' in 'field list'","time":1596701861614728900}
2020/08/06 16:19:06 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.CreateArticle err: Error 1054: Unknown column 'created_by' in 'field list'","time":1596701946560277200}
2020/08/06 16:23:16 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ModifiedBy为必填字段","time":1596702196753814900}
2020/08/06 16:26:30 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '`tag_id` = ? AND ar.state = ? AND ar.is_del = ?) LIMIT 3 OFFSET 6' at line 1","time":1596702390314806700}
2020/08/06 16:28:00 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: ","time":1596702480092144300}
2020/08/06 16:28:52 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '`tag_id` = ? AND ar.state = ? AND ar.is_del = ?) LIMIT 1 OFFSET 0' at line 1","time":1596702532836168900}
2020/08/06 16:28:59 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '`tag_id` = ? AND ar.state = ? AND ar.is_del = ?) LIMIT 1 OFFSET 0' at line 1","time":1596702539391403900}
2020/08/06 16:57:20 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: sql: Scan error on column index 5, name \"tag_id\": converting NULL to uint32 is unsupported","time":1596704240881034200}
2020/08/06 17:02:35 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: sql: Scan error on column index 5, name \"tag_id\": converting NULL to uint32 is unsupported","time":1596704555462100700}
2020/08/06 17:04:39 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: sql: Scan error on column index 5, name \"tag_id\": converting NULL to uint32 is unsupported","time":1596704679228702400}
2020/08/06 17:24:06 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1054: Unknown column 'at.tag_id' in 'where clause'","time":1596705846046092200}
2020/08/06 17:25:07 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"app.BindAndValid errs: TagID必须大于或等于1","time":1596705907917046100}
2020/08/06 17:25:16 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1054: Unknown column 'at.tag_id' in 'where clause'","time":1596705916095231300}
2020/08/06 17:26:43 {"callers":["D:/GoProjects/src/myBlog/main.go: 26 main.init.0"],"level":"error","message":"svc.GetArticleList err: Error 1054: Unknown column 'at.tag_id' in 'where clause'","time":1596706003683134500}
